,Title,Details,Cost,Descriptions,Attention Grabber
45,Tesla Model S E 70D CVT 4x4 5dr (Nav),"2016 (16 reg)|Saloon|5,742 miles|329BHP|Automatic|Electric|1 owner|Full service history","£42,990","VAT QUALIFYING VEHICLE, AS WE ARE AN AA CARS DEALER THIS VEHICLE COMES WITH A …","LOW MILEAGE, STUNNING EXAMPLE"
46,Tesla Model S E 70 CVT 5dr (Nav),"2016 (16 reg)|Saloon|65,000 miles|382BHP|Automatic|Electric|1 owner","£33,450","Auto Pilot, Summon, Premium Interior Pack, 4G LTE Data, Power Bootlid, Full Black …","VAT QUALIFYING: £27,875 Ex VAT"
47,Tesla Model S 60kWh 5dr [Nav],"2014 (64 reg)|Saloon|11,895 miles|Automatic|Electric","£36,500","One owner from new | 19"" Alloy Wheels | Panoramic Glass Roof | Sub Zero Pack | …",
48,Tesla Model S E 85 CVT 5dr,"2014 (14 reg)|Saloon|73,342 miles|362BHP|Automatic|Electric|2 owners","£29,990","Grey, 2 owners, £29,990, 17in Capacitive Touchscreen with Media, Communication, …",Heated Seats*HighDef Rear Cam*
49,Tesla Model S 75D Auto 4WD 5dr,"2017 (67 reg)|Saloon|24,000 miles|333PS|Automatic|Electric|1 owner|Full dealership history|ULEZ","£47,750","To RESERVE this car online and collect later, please contact us for a friendly …","21""+ENHANCED AP + SLIDING PAN"
50,Tesla Model S 100D Auto 4WD 5dr,"2017 (67 reg)|Saloon|20,000 miles|423PS|Automatic|Electric|ULEZ","£53,950",ZERO ROAD TAX - TESLA WARRANTY - DUAL MOTOR ALL WHEEL DRIVE. Midnight Silver …,ENHANCED AUTOPILOT
51,Tesla Model S 0.0 100D 5d 762 BHP,"2018 (67 reg)|Saloon|22,937 miles|762BHP|Automatic|Electric","£62,985",Zero deposit soft search finance available (15+ finance lenders) + 5 star …,
52,Tesla Model S TESLA S90D 5DR 517 BHP 4WD 2016 **VAT QUALIFYING**,"2016 (16 reg)|Saloon|38,427 miles|Automatic|Electric|1 owner|ULEZ","£43,500","PAN ROOF, SAT NAV, 17"" COLOUR TOUCHSCREEN MEDIA, IVORY LEATHER, AUTOPILOT …","SAT NAV LEATHER, ZERO EMISSION"
53,Tesla Model S E P85D (515kw) CVT 4x4 5dr,"2014 (14 reg)|Saloon|20,000 miles|691BHP|Automatic|Electric","£37,995",*PERFORMANCE MODEL* *GLASS ROOF* *ONLY 20K MILES* Synergy Motors Are Pleased To …,"PERFORMANCE P85, 20K MILES"
54,Tesla Model S E 70D CVT 4x4 5dr,"2016 (16 reg)|Saloon|37,000 miles|329BHP|Automatic|Electric","£37,980","VAT Qualifying Vehicle, Over £7,000 Of Optional Extras, 1 Owner From New, …","PANROOF+21""ALLOYS+NEXTGEN SEAT"
55,Tesla Model S E P90D 5DR NAV 2016 VAT QUALIFYING CAR,"2016 (16 reg)|Saloon|49,000 miles|517BHP|Automatic|Electric|1 owner|Part service history","£48,750",-VAT QUALIFYING - VIEWING VIA APPOINTMENTS - TESLA MODEL S P90D COVERED JUST …,"INSANE MODE, PAN ROOF, FREE SC"
56,Tesla Model S 100D Auto 4WD 5dr,"2017 (17 reg)|Saloon|45,000 miles|423PS|Automatic|Electric|ULEZ","£54,000","NATIONWIDE DELIVERY**WARRANTY**PART EXCHANGE WELCOME**FINANCE, Superbly Specced …",Premium Pack Enhance Autopilot
57,Tesla Model S 90D 5DR AUTOMATIC,"2016 (16 reg)|Saloon|41,000 miles|Automatic|Electric","£48,990",2016 16 TESLA MODEL S ELECTRIC HATCHBACK 90D 5DR AUTOMATIC Finished in Midnight …,VAT QUALIFYING
58,Tesla Model S 75D 5d,"2018 (18 reg)|Saloon|28,469 miles|333PS|Automatic|Electric|ULEZ","£46,950","WHITE, £46,950, 17"" touchscreen, Acoustic seat-belt warning, Autopilot, Blind …","PANROOF, R/CAMERA,"
59,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2016 (65 reg)|Saloon|29,400 miles|691BHP|Automatic|Electric|2 owners|No service history","£44,000","Welcome to Burbage Car Sales, we are happy to announce we new Ownership since …",Full Supercharge For Life
60,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|70,400 miles|691BHP|Automatic|Electric|1 owner","£40,499","WE ARE HAPPY TO OFFER THIS STUNNING TESLA MODEL SE P85D, SITTING ON ITS UPGRADED …",OVER 8K OF EXTRA OPTIONS
61,Tesla Model S 90D Auto 4WD 5dr,"2017 (66 reg)|Saloon|91,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£42,495","Delighted to offer for sale this one owner from new VAT Quilifing MODEL S 90., …",VAT Q | PANO ROOF | AUTOPILOT
62,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|28,171 miles|423PS|Automatic|Electric|ULEZ","£53,490",Just arrived and a great spec example of the Tesla Model S. This 90D AWD version …,Premium Pack+Enhance Autopilot
63,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|10,800 miles|333PS|Automatic|Electric|2 owners|ULEZ","£50,950","1 Owner from 2 Months, Tesla warranty till 29/04/2022, 21"" Arachnid Alloys, …","ENHANCED AUTOPILOT,GLASS ROOF,"
64,Tesla Model S 75 Auto 5dr,"2018 (18 reg)|Saloon|48,581 miles|319PS|Automatic|Electric|ULEZ","£44,990",Excellent spec with a host optional extras to include: Glass Panoramic Sun Roof …,"PAN ROOF|21"" ARACHNID ALLOYS"
65,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|63,000 miles|691BHP|Automatic|Electric","£42,875",NEW IN STOCK - BLACK - PART LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT …,19s+SAT NAV+RCAM+H/SEATS
66,Tesla Model S 90D 5dr,"2016 (66 reg)|Saloon|3,508 miles|423PS|Automatic|Electric|ULEZ","£58,000",2016/66 TESLA MODEL S 90 D AWD DUAL MOTOR IN MULTI COAT RED METALLIC WITH TAN …,"1,000 MILES /YEAR! AUTOPILOT"
67,Tesla Model S 60 5dr,"2014 (14 reg)|Saloon|12,056 miles|Automatic|Electric|1 owner","£35,999",** You can also contact us on Tel: 01403 750456 & Tel: 07968 378189 ** 12 months …,12 Month RAC Warranty
68,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|32,000 miles|423PS|Automatic|Electric|ULEZ","£54,950","Obsidian Black metallic. Dual motor. All wheel drive. Black premium seats, …",**UNDER OFFER**
69,Tesla Model S E 85 CVT 5dr,"2014 (14 reg)|Saloon|79,556 miles|362BHP|Automatic|Electric|2 owners|Part service history","£26,500","Drives superbly well and comes with free supercharging, in rare green colour. It …",Free supercharging. New MCU!
70,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|23,245 miles|423PS|Automatic|Electric|2 owners|ULEZ","£52,990","Due in with us soon, we have another of these Tesla Model S 90D AWD cars. This …",SUB ZERO+PREMIUM PACK+CARBON
71,Tesla Model S 70D Dual Motor Auto 70D 5dr,"2016 (66 reg)|Saloon|48,887 miles|334PS|Automatic|Electric|ULEZ","£39,995","Great Condition, 1 year MOT, VAT Qualifying, Spare key, HPI clear, Auto-Pilot …",UNBEATABLE PRICE!!
72,Tesla Model S 90D Free Supercharging 7 Seats Pano Sunroof 5dr,"2016 (16 reg)|Saloon|39,626 miles|423PS|Automatic|Electric|1 owner|Full service history|ULEZ","£48,500","This S 90D has the facelift looks, long range, Tesla comprehensive warranty up to …",Extended Comp Warranty to 70k
73,Tesla Model S E 85 CVT 5dr,"2014 (64 reg)|Saloon|70,000 miles|362BHP|Automatic|Electric|Full dealership history","£30,975",Finished in Polar White paint! A 36 month comprehensive extended warranty is …,Auto Pilot! Air Suspension! ++
74,"Tesla Model S E 85 Saloon 5dr Electric CVT (0 g/km, 362 bhp)","2014 (14 reg)|Saloon|61,725 miles|362BHP|Automatic|Electric","£32,990",Let me tell you a little bit about the way we do things at Stratstone BMW …,Enquire by calling 01134574180
75,Tesla Model S E 85 CVT 5dr,"2015 (15 reg)|Saloon|100,000 miles|362BHP|Automatic|Electric|2 owners","£31,995",We Are EV are pleased to offer this 2015 (15) Tesla Model S 85. Excellent …,FREE SUPERCHARGING! VAT Q!
76,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|28,400 miles|333PS|Automatic|Electric|1 owner|ULEZ","£49,875","This is a perfect opportunity to own a very rare, low mileage Tesla Model S with …",ADVANCED A PILOT+PAN+AERO PACK
77,Tesla Model S 311kW 85kWh Dual Motor 5dr [Nav],"2015 (65 reg)|Saloon|30,000 miles|422BHP|Automatic|Electric","£44,950",B&M Sports & Prestige Cars is part of the TG Holdcroft of Companies and are …,THE PERFECT TESLA !!!
78,Tesla Model S 85kWh Dual Motor 5dr [Nav],"2016 (16 reg)|Saloon|41,451 miles|Automatic|Electric","£41,000","One owner from new | Glass Roof | Navigation with Colour Screen | 17"" Touchscreen …",
79,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|27,716 miles|423PS|Automatic|Electric|2 owners|ULEZ","£53,490","Just arrived in, we have another of these lightning quick fully electric Tesla …",ENHANCED AUTOPILOT+PREMIUM PK
80,Tesla Model S 85 5dr,"2016 (16 reg)|Saloon|26,888 miles|362BHP|Automatic|Electric","£39,975",WE ARE FULLY OPEN FOR BUSINESS USING SOCIAL DISTANCING GUIDELINES! 2016 16 TESLA …,ENHANCED AP FULL LEATHER
81,Tesla Model S 60D Auto 4WD 5dr,"2017 (17 reg)|Saloon|35,000 miles|333PS|Automatic|Electric|1 owner|ULEZ","£41,995",4WD Model S finished in Midnight Silver (Dark Grey) Metallic (£900) with White …,"4WD, Free Super Fast Charging!"
82,Tesla Model S 100D 5dr,"2018 (18 reg)|Saloon|32,854 miles|423PS|Automatic|Electric|ULEZ","£60,975",WE ARE FULLY OPEN FOR BUSINESS USING SOCIAL DISTANCING GUIDELINES. 2018/18 TESLA …,AUTOPILOT PAN ROOF AIR SUS
83,Tesla Model S E 85 CVT 5dr,"2014 (64 reg)|Saloon|69,500 miles|362BHP|Automatic|Electric|2 owners","£29,995",Excellent Specification in gleaming white and cream leather interior. Autopilot …,Gleaming White Paintwork
84,"Tesla Model S 85D, Autopilot 1, Dual Motor, Free …","2015 (65 reg)|Saloon|100,121 miles|422BHP|Automatic|Electric|3 owners|Full service history","£33,000",A great value S 85D (Dual Motor) with the benefit of free unlimited supercharging …,"AP1, AWD, Free Super Charging!"
85,"Tesla Model S P85D, One owner from new, Air Suspension, High …","2016 (16 reg)|Saloon|26,782 miles|691BHP|Automatic|Electric|Full service history","£46,500","ONE owner, low mileage P85D insane +, A truly cherished example by its previous …",Fully Loaded P85D Insane +
86,Tesla Model S E 85 CVT 5dr,"2014 (64 reg)|Saloon|30,068 miles|362BHP|Automatic|Electric|3 owners","£36,500","CALL 01245 351234, Privacy Glass, Panoramic Roof, Red Contrast Brake Calipers, …","BUY ONLINE, SHOWROOM NOW OPEN"
87,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|63,000 miles|691BHP|Automatic|Electric","£42,875",NEW IN STOCK - BLACK - PART LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT …,19s+SAT NAV+RCAM+H/SEATS
88,Tesla Model S E P90D Saloon 5dr Electric CVT 4x4 (Nav) (0 …,"2015 (65 reg)|Saloon|39,000 miles|Automatic|Electric","£48,995",This car must be seen and driven to fully appreciate it as  the ultimate EV. It …,LUDICROUS-SUPER CHARGE ENABLED
89,Tesla Model S E 85D CVT 4x4 5dr (Nav),"CAT|Write-off Category Icon|2015 (65 reg)|Saloon|105,000 miles|422BHP|Automatic|Electric|1 owner","£30,995","7 SEATER, 4 YEARS REMAINING TESLA WARRANTY, CHARGING CABLE, 2 KEYS AVAILABLE, …",FREE UNLIMITED SUPERCHARGE
90,Tesla Model S 449kW 100kWh Dual Motor 5dr Auto,"2018 (18 reg)|Saloon|21,487 miles|423PS|Automatic|Electric|1 owner|ULEZ","£59,990",Lloyd Premium Cars Blackpool are delighted to offer this stunning Tesla Model S …,"Premium Pack, 19"" Alloys"
91,Tesla Model S E 70D CVT 4x4 5dr,"2015 (65 reg)|Saloon|82,000 miles|329BHP|Automatic|Electric|1 owner","£31,989",Lakeside Cars are delighted to be offering this Stunning Tesla Model S 70D with …,Free Supercharging*& Road Tax
92,Tesla Model S 100kWh Dual Motor 5dr Auto,"2018 (68 reg)|Saloon|16,151 miles|Automatic|Electric","£62,500",One owner from new | Panoramc ventilating glass sunroof | Ultra high fidelity …,
93,Tesla Model S 60 5d,"2017 (17 reg)|Saloon|38,660 miles|319PS|Automatic|Electric|ULEZ","£38,950","RED, £38,950, Panoramic glass roof, Leather - Black, Multi coat - Red, Front & …",AUTO PILOT. PANROOF
94,Tesla Model S 75 Auto 5dr,"2016 (66 reg)|Saloon|36,000 miles|319PS|Automatic|Electric|1 owner|ULEZ","£38,495",Auto 2000 are open for business we are location in the stunning Essex country …,FULL GLASS PAN ROOF ~ SAT NAV
95,Tesla Model S E 85 CVT 5dr,"2016 (16 reg)|Saloon|34,000 miles|362BHP|Automatic|Electric|1 owner|Full dealership history","£39,995",We are now offering the option to have any vehicle in stock delivered to your …,SAFE NATIONWIDE DELIVERY TODAY
